variable,n,pearson_r,pearson_p,spearman_r,spearman_p
Ramadan,361,0.7727638429108006,7.174134109407243e-73,0.46012775778362813,2.5777168811630835e-20
TikTok Phone Click,361,0.4445858657415457,6.368726366061258e-19,0.4418526044634426,1.100806224453704e-18
Event,361,0.3274211077797402,1.8174339245798238e-10,0.1964459178840522,0.00017251865478004039
Instagram Followers,361,0.2792770722607156,6.829740876776249e-08,0.38290176784133284,4.7304502594264295e-14
TikTok Follower Gain,361,0.2674863036431419,2.483815158811703e-07,0.346754606743705,1.2278819499516475e-11
Had Event,361,0.2557574199672338,8.449727644990723e-07,0.19133533337397796,0.0002555806596139691
School,361,0.14475544265709256,0.0058630929889310224,0.07260792363995472,0.16864102168817982
Public Sector Holidays,361,0.11589340676846151,0.027682124515421225,0.0941803064990772,0.07390611448940072
TikTok View,361,0.11216178545967663,0.03313780644800541,0.3167679648301449,7.414223517651163e-10
University,361,-0.11139282549452156,0.03436930296505498,-0.05867260438531832,0.2661934643212654
Facebook View,361,0.10875321579229277,0.03889707155177988,0.14274082641671482,0.006595749340628625
Instagram View,361,0.08721631243435879,0.09802252335341859,0.13923482359873227,0.008068190599273979
Weekday,361,-0.07801011170788627,0.13905833066820694,-0.12280383850828994,0.01959458989075034
Public Sector Salary,361,-0.06807951225149612,0.19686934922825441,-0.08936397064698433,0.08999569463202343
IsWeekend,361,-0.051673860006907296,0.32755402053129423,-0.04571003665492528,0.38652780681677645
Facebook Follow,361,0.043328874655357785,0.41177215510438,0.21294230372673878,4.52791124550558e-05
Influencer Post,361,0.03531736549849113,0.5035519769195376,0.06987572083194941,0.18528597156677493
Private Sector Salary,361,0.0013909077654888499,0.9789896544545831,-0.003247786743369886,0.9509657139624809
