condition,n_on,n_off,mean_on,mean_off,uplift_pct,t_stat,p_value
Ramadan,28,333,2.706666666642857,1.0647343543363363,154.21051322514714,21.98071210599216,1.5204538337254127e-20
Had Event,23,338,1.7493043472608698,1.1541692505118344,51.563936267156095,3.7165788443166767,0.0011020181415472875
Public Sector Holidays,25,336,1.4335550929999998,1.174120027782738,22.09612808557495,1.5478773196224607,0.13394099000953344
Public Sector Salary +2d,24,337,0.9632777777916667,1.2083814243115725,-20.283632434977548,-1.9654293363119035,0.06010183414563773
Public Sector Salary +3d,23,338,0.9867246377391304,1.2060607692071006,-18.186159194297325,-1.6310655560170906,0.11568219747692413
School,202,159,1.2650759075891087,1.0993576938805032,15.074094139793104,2.906366373475658,0.0038902946861589967
High-Instagram-View day +1d,91,270,1.3025184762417579,1.1548667604518519,12.785173220513846,1.8646649894756824,0.06456580171406158
Public Sector Salary,25,336,1.0502399998,1.2026404960267858,-12.672157367914828,-1.0326601593631017,0.31121600049060055
High-Instagram-View day +2d,91,270,1.2927692308461538,1.1581526172333332,11.623391564265617,1.7203847020038912,0.08778845664176056
University,178,183,1.1278952959157305,1.2545237376338796,-10.093746169919381,-2.132419275921182,0.03369814695734756
Public Sector Salary +1d,25,336,1.08511999988,1.2000452579255954,-9.576743650839948,-0.8792633431102903,0.38704762668955073
Influencer Post,16,345,1.2852916665,1.1877638840463767,8.211041248482287,0.7908589979477103,0.4398779710312313
Weekday,259,102,1.1642634748648648,1.262734967352941,-7.798270819608422,-1.4676729155428039,0.14392676863663256
High-TikTok-View day +2d,75,286,1.2638088889333332,1.1732781118531468,7.716054374967984,1.4235684739354217,0.15670675834425235
High-TikTok-View day +0d,75,286,1.2562977778666666,1.1752478088111888,6.896415245178211,1.1984403104097108,0.23290288337298687
High-TikTok-View day +1d,75,286,1.2560290845333333,1.1753182703496503,6.8671453698811336,1.2795553009225216,0.20270090135126578
High-Instagram-View day +0d,91,270,1.2418957656043954,1.1752988592222222,5.6663805856363325,0.8434407017377069,0.40057172309025
IsWeekend,103,258,1.1456066149805828,1.2106423461899223,-5.372002013147559,-0.9926263082595265,0.32213605216160623
Private Sector Salary +3d,11,350,1.2536225453636363,1.1901524533171428,5.332937966862339,0.34868550564327133,0.7341634586453611
Private Sector Salary +2d,11,350,1.2468649694545455,1.1903648342742856,4.746455334822253,0.31783649262680524,0.7567747775898613
Private Sector Salary +1d,11,350,1.2287575758181817,1.1909339237885714,3.1759656244644052,0.23376469305545228,0.8195590607984993
Private Sector Salary,11,350,1.1965454545454544,1.1919463047428571,0.3858520962141343,0.02852385467801252,0.9777666421332734
