variable,std_beta,t,p_value,abs_beta
Ramadan,0.8059951731354046,18.38557558007101,0.0,0.8059951731354046
TikTok View,0.13636313828330887,3.5122727018622992,0.0005031951214482522,0.13636313828330887
Facebook Follow,0.13383201067428682,1.8090502301407958,0.07131102639497144,0.13383201067428682
Facebook View,-0.1332401235157335,-1.6979207757908648,0.09042181595948207,0.1332401235157335
Instagram View,0.07552554424712327,1.3203653901835894,0.18758580053570917,0.07552554424712327
Public Sector Salary,-0.07238194809571401,-2.0909857403058227,0.03725843096042869,0.07238194809571401
School,0.06792183181816908,1.4795483426458953,0.1399037004758008,0.06792183181816908
IsWeekend,-0.06754201746233694,-2.0393648648989613,0.04217300678920788,0.06754201746233694
Instagram Followers,-0.05759427204893166,-1.1203418730363002,0.26334514537582376,0.05759427204893166
Public Sector Holidays,0.029682570443138472,0.7893586317753553,0.43044300327554064,0.029682570443138472
Had Event,-0.026495538163647494,-0.6890232265137427,0.49127042613333005,0.026495538163647494
Influencer Post,0.020586199062366146,0.5945254431509048,0.5525492861092918,0.020586199062366146
University,0.011899473037387134,0.2657384627276474,0.7905989067524433,0.011899473037387134
Private Sector Salary,0.010787102116301824,0.3243441632325725,0.7458734787738694,0.010787102116301824
