sector,offset,uplift,n_on,scope
Public Sector Salary,-3,8.952932097337097,10,All days
Private Sector Salary,-3,-9.372311982987046,11,All days
Public Sector Salary,-2,18.928298739821535,10,All days
Private Sector Salary,-2,-22.577775722347514,11,All days
Public Sector Salary,-1,13.971426841284384,10,All days
Private Sector Salary,-1,-21.553415080620052,11,All days
Public Sector Salary,0,11.162984133194609,11,All days
Private Sector Salary,0,0.3858520962141343,11,All days
Public Sector Salary,1,15.249140518115833,11,All days
Private Sector Salary,1,3.1759656244644052,11,All days
Public Sector Salary,2,-13.746141046403492,11,All days
Private Sector Salary,2,4.746455334822253,11,All days
Public Sector Salary,3,-7.830092463574523,10,All days
Private Sector Salary,3,5.332937966862339,11,All days
Public Sector Salary,4,-7.852999655561332,10,All days
Private Sector Salary,4,2.3329197929517598,11,All days
Public Sector Salary,5,4.467183741891589,10,All days
Private Sector Salary,5,8.30802109079296,11,All days
Public Sector Salary,-3,-4.9245524777210665,8,Excluding Ramadan
Private Sector Salary,-3,0.49056800297140324,10,Excluding Ramadan
Public Sector Salary,-2,3.4285834330085807,8,Excluding Ramadan
Private Sector Salary,-2,-16.935867450177668,10,Excluding Ramadan
Public Sector Salary,-1,-1.0086861007218895,8,Excluding Ramadan
Private Sector Salary,-1,-16.52687624408602,10,Excluding Ramadan
Public Sector Salary,0,-13.655918431399227,9,Excluding Ramadan
Private Sector Salary,0,8.049571590804995,10,Excluding Ramadan
Public Sector Salary,1,-1.2716994998032138,9,Excluding Ramadan
Private Sector Salary,1,4.61205974222052,10,Excluding Ramadan
Public Sector Salary,2,-13.4997642261391,9,Excluding Ramadan
Private Sector Salary,2,3.5752126405470097,10,Excluding Ramadan
Public Sector Salary,3,-7.954483446009908,8,Excluding Ramadan
Private Sector Salary,3,3.0092659295834823,10,Excluding Ramadan
Public Sector Salary,4,-5.1565502476655585,8,Excluding Ramadan
Private Sector Salary,4,6.150126696797797,10,Excluding Ramadan
Public Sector Salary,5,-12.407408297561961,8,Excluding Ramadan
Private Sector Salary,5,2.4467436646040674,10,Excluding Ramadan
